set_id,description,price,img_url_1,img_url_2,color,category
18,Silver Gold Sleek Hoop Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00339/1.jpg,https://img.faballey.com/images/Product/ZEA00339/2.jpg,Silver,earrings
19,Gold Dark Blue Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00350/1.jpg,https://img.faballey.com/images/Product/ZEA00350/2.jpg,Blue ,earrings
20,Gold Blue Textured Disc Stud Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00275/1.jpg,https://img.faballey.com/images/Product/ZEA00275/2.jpg,blue,earrings
21,Silver Crystal Pearl Circular Stud Earrings,1100.00,https://img.faballey.com/Images/Product/ZEA00478/1.jpg,https://img.faballey.com/images/Product/ZEA00478/2.jpg,Silver,earrings
22,Gold Multishape Hoop Earrings Set of 3,650.00,https://img.faballey.com/Images/Product/ZEA00338/1.jpg,https://img.faballey.com/images/Product/ZEA00338/2.jpg,Gold,earrings
23,Gold Kundan Red Stone Chandbali Earrings,700.00,https://img.faballey.com/Images/Product/ZEA00486/1.jpg,https://img.faballey.com/images/Product/ZEA00486/2.jpg,Red,earrings
24,Silver Floral Burst Daana Oxidised Hoop Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00288/1.jpg,https://img.faballey.com/images/Product/ZEA00288/2.jpg,silver,earrings
25,Gold Blue Kundan Stone Bead Earrings,1050.00,https://img.faballey.com/Images/Product/ZEA00256/1.jpg,https://img.faballey.com/images/Product/ZEA00256/2.jpg,blue,earrings
26,Gold Blue Kundan Meena Chandbali Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00455/1.jpg,https://img.faballey.com/images/Product/ZEA00455/2.jpg,White,earrings
27,Gold Blue Enamel Jhumka Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00443/1.jpg,https://img.faballey.com/images/Product/ZEA00443/2.jpg,Blue ,earrings
1,White Green Kundan Bead Bracelet,1300.00,https://img.faballey.com/Images/Product/ZBR00049/1.jpg,https://img.faballey.com/images/Product/ZBR00049/2.jpg,green,bangles-bracelets
28,Gold Pink Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00351/1.jpg,https://img.faballey.com/images/Product/ZEA00351/2.jpg, Pink,earrings
